Operation, Opt_ID, Threads, Queue Depth, Device Queue Depth, KIOPS , Bandwidth(MiBs), cpu_core_index, usr, nice, sys, iowait, irq, soft, steal, guest, gnice, cpu_usages
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,39,0.01,0.0,1.67,0.0,0.34,0.0,0.0,0.0,0.0,2.02
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,40,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,41,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,42,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,43,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.03
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,44,0.04,0.0,0.1,0.0,0.02,0.0,0.0,0.0,0.0,0.16
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,45,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,46,0.01,0.0,0.86,0.0,0.19,0.0,0.0,0.0,0.0,1.06
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,47,0.01,0.0,0.76,0.0,0.16,0.0,0.0,0.0,0.0,0.93
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,48,0.02,0.0,2.71,0.0,0.43,0.01,0.0,0.0,0.0,3.17
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,49,0.04,0.0,9.39,0.0,1.48,0.01,0.0,0.0,0.0,10.92
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,50,0.02,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.05
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,51,0.02,0.0,12.8,0.0,1.99,0.01,0.0,0.0,0.0,14.82
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,52,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.05
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,53,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,54,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.03
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,55,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.04
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,56,0.03,0.0,0.05,0.0,0.0,0.0,0.0,0.02,0.0,0.1
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,57,0.2,0.0,0.25,0.0,0.01,0.0,0.0,0.0,0.0,0.46
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,58,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.29000000000000004
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,59,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.04
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,60,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,61,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,62,0.03,0.0,0.02,0.0,0.03,0.01,0.0,0.0,0.0,0.09
Random 4KB Write,randomwriteq1t8,8,1,8,39.89286,159.6,63,0.02,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.05
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,0,1.16,0.0,4.47,0.0,0.29,1.69,0.0,0.0,0.0,7.609999999999999
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,1,1.05,0.0,4.36,0.0,0.27,0.1,0.0,0.0,0.0,5.779999999999999
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,2,1.17,0.0,4.48,0.0,0.27,0.02,0.0,0.0,0.0,5.9399999999999995
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,3,1.49,0.0,4.29,0.0,0.29,0.0,0.0,0.0,0.0,6.07
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,4,1.19,0.0,4.31,0.0,0.33,0.0,0.0,0.0,0.0,5.83
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,5,1.19,0.0,4.4,0.0,0.32,0.01,0.0,0.0,0.0,5.92
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,6,1.18,0.0,4.33,0.0,0.33,0.0,0.0,0.0,0.0,5.84
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,7,1.31,0.0,4.32,0.0,0.34,0.0,0.0,0.0,0.0,5.970000000000001
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,8,1.03,0.0,4.59,0.0,0.29,0.01,0.0,0.0,0.0,5.92
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,9,1.03,0.0,4.52,0.0,0.3,0.0,0.0,0.0,0.0,5.85
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,10,1.07,0.0,4.6,0.0,0.3,0.0,0.0,0.0,0.0,5.97
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,11,1.21,0.0,4.53,0.0,0.31,0.0,0.0,0.0,0.0,6.05
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,12,1.05,0.0,4.2,0.0,0.24,0.01,0.0,0.0,0.0,5.5
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,13,1.11,0.0,4.27,0.0,0.24,0.0,0.0,0.0,0.0,5.62
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,14,1.14,0.0,4.33,0.0,0.26,0.0,0.0,0.0,0.0,5.7299999999999995
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,15,1.14,0.0,4.39,0.0,0.27,0.01,0.0,0.0,0.0,5.809999999999999
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,16,0.04,0.0,0.03,0.0,0.01,0.01,0.0,0.04,0.0,0.13
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,17,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.33
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,18,0.03,0.0,0.01,0.0,0.01,0.0,0.0,0.03,0.0,0.08
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,19,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.04
Random 4KB Write,randomwriteq1t16,16,1,16,54.98083999999999,219.9,20,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.03
